CPV CODE,Omschrijving,Mapped GPP
03144000-2,Landbouwbenodigdheden,GPP: Not applicable
03200000-3,"Granen, aardappelen, groenten, vruchten en noten",GPP: Food Catering services and vending machines
03210000-6,Granen en aardappelen,GPP: Food Catering services and vending machines
03211000-3,Granen,GPP: Food Catering services and vending machines
03211100-4,Tarwe,GPP: Food Catering services and vending machines
03211110-7,Harde tarwe,GPP: Food Catering services and vending machines
03211120-0,Zachte tarwe,GPP: Food Catering services and vending machines
03211200-5,Maïs,GPP: Food Catering services and vending machines
03211300-6,Rijst,GPP: Food Catering services and vending machines
03211400-7,Gerst,GPP: Food Catering services and vending machines
03211500-8,Rogge,GPP: Food Catering services and vending machines
03211600-9,Haver,GPP: Food Catering services and vending machines
03211700-0,Mout,GPP: Food Catering services and vending machines
03211900-2,Graanproducten,GPP: Food Catering services and vending machines
03212000-0,Aardappelen en gedroogde groenten,GPP: Food Catering services and vending machines
03212100-1,Aardappelen,GPP: Food Catering services and vending machines
03212200-2,Gedroogde peulvruchten en peulen,GPP: Food Catering services and vending machines
03212210-5,Gedroogde peulvruchten,GPP: Food Catering services and vending machines
03212211-2,Linzen,GPP: Food Catering services and vending machines
03212212-9,Kikkererwten,GPP: Food Catering services and vending machines
03212213-6,Gedroogde erwten,GPP: Food Catering services and vending machines
03212220-8,Peulvruchten,GPP: Food Catering services and vending machines
03220000-9,"Groenten, vruchten en noten",GPP: Food Catering services and vending machines
03221000-6,Groenten,GPP: Food Catering services and vending machines
03221100-7,Wortel- en knolgewassen,GPP: Food Catering services and vending machines
03221110-0,Wortelgewassen,GPP: Food Catering services and vending machines
03221111-7,Rode bieten,GPP: Food Catering services and vending machines
03221112-4,Wortelen,GPP: Food Catering services and vending machines
03221113-1,Uien,GPP: Food Catering services and vending machines
03221114-8,Rapen,GPP: Food Catering services and vending machines
03221120-3,Knolgewassen,GPP: Food Catering services and vending machines
03221200-8,Vruchtgroenten,GPP: Food Catering services and vending machines
03221210-1,Bonen,GPP: Food Catering services and vending machines
03221211-8,Tuinbonen,GPP: Food Catering services and vending machines
03221212-5,Sperziebonen,GPP: Food Catering services and vending machines
03221213-2,Snijbonen,GPP: Food Catering services and vending machines
03221220-4,Erwten,GPP: Food Catering services and vending machines
03221221-1,Doperwten,GPP: Food Catering services and vending machines
03221222-8,Peultjes,GPP: Food Catering services and vending machines
03221230-7,Paprika's,GPP: Food Catering services and vending machines
03221240-0,Tomaten,GPP: Food Catering services and vending machines
03221250-3,Courgettes,GPP: Food Catering services and vending machines
03221260-6,Paddestoelen,GPP: Food Catering services and vending machines
03221270-9,Komkommers,GPP: Food Catering services and vending machines
03221300-9,Bladgroenten,GPP: Food Catering services and vending machines
03221310-2,Sla,GPP: Food Catering services and vending machines
03221320-5,Slabladeren,GPP: Food Catering services and vending machines
03221330-8,Artisjokken,GPP: Food Catering services and vending machines
03221340-1,Spinazie,GPP: Food Catering services and vending machines
03221400-0,Koolgroenten,GPP: Food Catering services and vending machines
03221410-3,Kool,GPP: Food Catering services and vending machines
03221420-6,Bloemkool,GPP: Food Catering services and vending machines
03221430-9,Broccoli,GPP: Food Catering services and vending machines
03221440-2,Spruitjes,GPP: Food Catering services and vending machines
03222000-3,Vruchten en noten,GPP: Food Catering services and vending machines
03222100-4,Tropische vruchten en noten,GPP: Food Catering services and vending machines
03222110-7,Tropisch fruit,GPP: Food Catering services and vending machines
03222111-4,Bananen,GPP: Food Catering services and vending machines
03222112-1,Ananassen,GPP: Food Catering services and vending machines
03222113-8,Mango's,GPP: Food Catering services and vending machines
03222114-5,Dadels,GPP: Food Catering services and vending machines
03222115-2,Rozijnen,GPP: Food Catering services and vending machines
03222116-9,Vijgen,GPP: Food Catering services and vending machines
03222117-6,Avocado's,GPP: Food Catering services and vending machines
03222118-3,Kiwi's,GPP: Food Catering services and vending machines
03222120-0,Kokosnoten,GPP: Food Catering services and vending machines
03222200-5,Citrusvruchten,GPP: Food Catering services and vending machines
03222210-8,Citroenen,GPP: Food Catering services and vending machines
03222220-1,Sinaasappels,GPP: Food Catering services and vending machines
03222230-4,Grapefruit,GPP: Food Catering services and vending machines
03222240-7,Mandarijntjes,GPP: Food Catering services and vending machines
03222250-0,Limoenen,GPP: Food Catering services and vending machines
03222300-6,Niet-tropisch fruit,GPP: Food Catering services and vending machines
03222310-9,Besvruchten,GPP: Food Catering services and vending machines
03222311-6,Krenten,GPP: Food Catering services and vending machines
03222312-3,Kruisbessen,GPP: Food Catering services and vending machines
03222313-0,Aardbeien,GPP: Food Catering services and vending machines
03222314-7,Frambozen,GPP: Food Catering services and vending machines
03222315-4,Veenbessen,GPP: Food Catering services and vending machines
03222320-2,"Appels, peren en kweeperen",GPP: Food Catering services and vending machines
03222321-9,Appels,GPP: Food Catering services and vending machines
03222322-6,Peren,GPP: Food Catering services and vending machines
03222323-3,Kweeperen,GPP: Food Catering services and vending machines
03222330-5,Steenvruchten,GPP: Food Catering services and vending machines
03222331-2,Abrikozen,GPP: Food Catering services and vending machines
03222332-9,Perziken,GPP: Food Catering services and vending machines
03222333-6,Kersen,GPP: Food Catering services and vending machines
03222334-3,Pruimen,GPP: Food Catering services and vending machines
03222340-8,Druiven,GPP: Food Catering services and vending machines
03222341-5,Tafeldruiven,GPP: Food Catering services and vending machines
03222342-2,Wijndruiven,GPP: Food Catering services and vending machines
03222400-7,Olijven,GPP: Food Catering services and vending machines
03300000-2,"Veeteelt-, jacht- en visserijproducten",GPP: Food Catering services and vending machines
03310000-5,"Vis, schaal- en schelpdieren en aquatische producten",GPP: Food Catering services and vending machines
03311000-2,Vis,GPP: Food Catering services and vending machines
03311100-3,Platvissen,GPP: Food Catering services and vending machines
03311110-6,Tong,GPP: Food Catering services and vending machines
03311120-9,Schol,GPP: Food Catering services and vending machines
03311200-4,Kabeljauwachtigen,GPP: Food Catering services and vending machines
03311210-7,Kabeljauw,GPP: Food Catering services and vending machines
03311220-0,Pollak,GPP: Food Catering services and vending machines
03311230-3,Heek,GPP: Food Catering services and vending machines
03311240-6,Schelvis,GPP: Food Catering services and vending machines
03311300-5,Haring,GPP: Food Catering services and vending machines
03311400-6,Tonijn,GPP: Food Catering services and vending machines
03311500-7,Wijting,GPP: Food Catering services and vending machines
03311600-8,Zeebliek,GPP: Food Catering services and vending machines
03311700-9,Zalm,GPP: Food Catering services and vending machines
03312000-9,Schaaldieren,GPP: Food Catering services and vending machines
03312100-0,Oesters,GPP: Food Catering services and vending machines
03312200-1,Schelpdieren,GPP: Food Catering services and vending machines
03312300-2,Ongewervelde waterdieren,GPP: Food Catering services and vending machines
03313000-6,Aquatische producten,GPP: Food Catering services and vending machines
03313100-7,Koralen of soortgelijke producten,GPP: Not applicable
03313200-8,Natuurlijke sponsen,GPP: Not applicable
03313300-9,Zeewieren,GPP: Food Catering services and vending machines
03313310-2,Algen,GPP: Food Catering services and vending machines
03320000-8,Groot en kleinvee en andere kleine dieren,GPP: Food Catering services and vending machines
03321000-5,Vee,GPP: Food Catering services and vending machines
03321100-6,Rundvee,GPP: Food Catering services and vending machines
03321200-7,Kalveren,GPP: Food Catering services and vending machines
03322000-2,Vee,GPP: Food Catering services and vending machines
03322100-3,Schapen,GPP: Food Catering services and vending machines
03322200-4,Geiten,GPP: Food Catering services and vending machines
03322300-5,Paarden,GPP: Food Catering services and vending machines
03323000-9,Varkens,GPP: Food Catering services and vending machines
03324000-6,Levend pluimvee,GPP: Food Catering services and vending machines
03325000-3,Kleinvee,GPP: Food Catering services and vending machines
03325100-4,Konijnen,GPP: Food Catering services and vending machines
03325200-5,Hazen,GPP: Food Catering services and vending machines
03330000-3,Producten van boerderijdieren,GPP: Food Catering services and vending machines
03331000-0,Verse melk van schapen en geiten,GPP: Food Catering services and vending machines
03331100-1,Schapenmelk,GPP: Food Catering services and vending machines
03331200-2,Geitenmelk,GPP: Food Catering services and vending machines
03332000-7,Wol en dierlijk haar,GPP: Not applicable
03332100-8,Scheerwol,GPP: Not applicable
03332200-9,Dierlijk haar,GPP: Not applicable
03333000-4,Verse koemelk,GPP: Food Catering services and vending machines
03340000-6,Oormerken voor dieren,GPP: Not applicable
03341000-3,Oormerken voor rundvee,GPP: Not applicable
03400000-4,Producten van bosbouw en bosexploitatie,GPP: Not applicable
03410000-7,Hout,GPP: Not applicable
03460000-2,Pulp,GPP: Not applicable
03461000-9,Houtpulp,GPP: Not applicable
03461100-0,Houtcellulose,GPP: Not applicable
09000000-3,"Aardolieproducten, brandstof, elektriciteit en andere energiebronnen",GPP: Road transport
09100000-0,Brandstoffen,GPP: Road transport
09110000-3,Vaste brandstoffen,GPP: Public Space Maintenance
09111000-0,Steenkool en brandstoffen op basis van steenkool,GPP: Public Space Maintenance
09111100-1,Steenkool,GPP: Public Space Maintenance
09111200-2,Brandstoffen op basis van steenkool,GPP: Public Space Maintenance
09111210-5,Antraciet,GPP: Public Space Maintenance
09111220-8,Briketten,GPP: Public Space Maintenance
09111300-3,Fossiele brandstoffen,GPP: Road transport
09111400-4,Brandstoffen op basis van hout,GPP: Public Space Maintenance
09112000-7,Bruinkool en turf,GPP: Public Space Maintenance
09112100-8,Bruinkool,GPP: Public Space Maintenance
09112200-9,Turf,GPP: Public Space Maintenance
09113000-4,Cokes,GPP: Public Space Maintenance
09120000-6,Gasvormige brandstoffen,GPP: Road transport
09121000-3,"Steenkoolgas, leidinggas of soortgelijke gassen",GPP: Road transport
09121100-4,Steenkoolgas of soortgelijke gassen,GPP: Road transport
09121200-5,Leidinggas,GPP: Road transport
09122000-0,Propaan en butaan,GPP: Road transport
09122100-1,Propaangas,GPP: Road transport
09122110-4,Vloeibaar propaangas,GPP: Road transport
09122200-2,Butaangas,GPP: Road transport
09122210-5,Vloeibaar butaangas,GPP: Road transport
09123000-7,Aardgas,GPP: Road transport
09130000-9,Aardolie en aardoliedistillaten,GPP: Road transport
09131000-6,Luchtvaartkerosine,GPP: Road transport
09131100-7,Reactiemotorbrandstof van het kerosinetype,GPP: Road transport
09132000-3,Benzine,GPP: Road transport
09132100-4,Loodvrije benzine,GPP: Road transport
09132200-5,Gelode benzine,GPP: Road transport
09132300-6,Ethanolhoudende benzine,GPP: Road transport
09133000-0,Vloeibaar petroleumgas (lpg),GPP: Road transport
09134000-7,Gasolie,GPP: Road transport
09134100-8,Dieselolie,GPP: Road transport
09134200-9,Dieselbrandstof,GPP: Road transport
09240000-3,Olie en steenkoolproducten,GPP: Public Space Maintenance
09241000-0,Bitumineuze leisteen,GPP: Public Space Maintenance
09242000-7,Steenkoolproducten,GPP: Public Space Maintenance
09242100-8,Koololie,GPP: Public Space Maintenance
09300000-2,"Elektriciteit, verwarming, zonne- en kernenergie",GPP: Electricity
09310000-5,Elektriciteit,GPP: Electricity
09320000-8,"Stoom, warm water en aanverwante producten",GPP: Not applicable
09321000-5,Warm water,GPP: Not applicable
09322000-2,Stoom,GPP: Not applicable
09323000-9,Stadsverwarming,GPP: Not applicable
09324000-6,Afstandsverwarming,GPP: Not applicable
09330000-1,Zonne-energie,GPP: Not applicable
09122100-1,Propaangas,GPP: Road transport
09122110-4,Vloeibaar propaangas,GPP: Road transport
09122200-2,Butaangas,GPP: Road transport
09122210-5,Vloeibaar butaangas,GPP: Road transport
09123000-7,Aardgas,GPP: Road transport
09130000-9,Aardolie en aardoliedistillaten,GPP: Road transport
09131000-6,Luchtvaartkerosine,GPP: Not applicable
09131100-7,Reactiemotorbrandstof van het kerosinetype,GPP: Not applicable
09132000-3,Benzine,GPP: Road transport
09132100-4,Loodvrije benzine,GPP: Road transport
09132200-5,Gelode benzine,GPP: Road transport
09132300-6,Ethanolhoudende benzine,GPP: Road transport
09133000-0,Vloeibaar petroleumgas (lpg),GPP: Road transport
09134000-7,Gasolie,GPP: Road transport
09134100-8,Dieselolie,GPP: Road transport
09134200-9,Dieselbrandstof,GPP: Road transport
09134210-2,"Dieselbrandstof (0,2)",GPP: Road transport
09134220-5,Dieselbrandstof (EN 590),GPP: Road transport
09134230-8,Biodiesel,GPP: Road transport
09134231-5,Biodiesel (B20),GPP: Road transport
09134232-2,Biodiesel (B100),GPP: Road transport
09135000-4,Stookoliën,GPP: Road transport
09135100-5,Stookolie,GPP: Road transport
09135110-8,Stookoliën met een laag zwavelgehalte,GPP: Road transport
09200000-1,"Aardolie, steenkool en olieproducten",GPP: Road transport
09210000-4,Preparaten voor smering,GPP: Road transport
09211000-1,Smeerolie en smeermiddelen,GPP: Road transport
09211100-2,Motorolie,GPP: Road transport
09211200-3,Compressorolie,GPP: Public Space Maintenance
09211300-4,Turbineolie,GPP: Public Space Maintenance
09211400-5,Versnellingsbakolie,GPP: Road transport
09211500-6,Olie voor overbrenging,GPP: Road transport
09211600-7,Olie voor gebruik in hydraulische installaties en voor andere doeleinden,GPP: Public Space Maintenance
09211610-0,Vloeistoffen voor hydraulische installaties,GPP: Public Space Maintenance
09211620-3,Olie voor het insmeren van vormen,GPP: Public Space Maintenance
09211630-6,Corrosiewerende olie,GPP: Public Space Maintenance
09211640-9,Olie voor elektrische isolatie,GPP: Not applicable
09211650-2,Remvloeistoffen,GPP: Road transport
09211700-8,White oils en paraffinum liquidum,GPP: Public Space Maintenance
09211710-1,White oils,GPP: Public Space Maintenance
09211720-4,Paraffinum liquidum,GPP: Public Space Maintenance
09211800-9,Aardoliën en -samenstellingen,GPP: Road transport
09211810-2,Lichte oliën,GPP: Road transport
09211820-5,Minerale oliën,GPP: Road transport
09211900-0,Smeeroliën voor tractie,GPP: Road transport
09220000-7,"Vaseline, was en lichte oliën",GPP: Public Space Maintenance
09221000-4,Vaseline en was,GPP: Public Space Maintenance
09221100-5,Vaseline,GPP: Public Space Maintenance
09221200-6,Paraffinewas,GPP: Public Space Maintenance
09221300-7,Slack-wax,GPP: Public Space Maintenance
09221400-8,Petroleumresiduen,GPP: Public Space Maintenance
09222000-1,Speciale distillatieproducten,GPP: Public Space Maintenance
09222100-2,Terpentine,GPP: Public Space Maintenance
09230000-0,Ruwe aardolie,GPP: Road transport
09240000-3,Olie en steenkoolproducten,GPP: Public Space Maintenance
09241000-0,Bitumineuze leisteen,GPP: Public Space Maintenance
09242000-7,Steenkoolproducten,GPP: Public Space Maintenance
09242100-8,Koololie,GPP: Public Space Maintenance
09300000-2,"Electriciteit, verwarming, zonne- en kernenergie",GPP: Electricity
09310000-5,Elektriciteit,GPP: Electricity
09320000-8,"Stoom, warm water en aanverwante producten","GPP: Office Building Design, Construction and Management"
09321000-5,Warm water,"GPP: Office Building Design, Construction and Management"
09322000-2,Stoom,"GPP: Office Building Design, Construction and Management"
09323000-9,Stadsverwarming,"GPP: Office Building Design, Construction and Management"
09324000-6,Afstandsverwarming,"GPP: Office Building Design, Construction and Management"
09330000-1,Zonne-energie,GPP: Electricity
09331000-8,Zonnepanelen,GPP: Electricity
09331100-9,Zonnecollectoren voor verwarmingsdoeleinden,"GPP: Office Building Design, Construction and Management"
09331200-0,Fotovoltaïsche zonnecellen,GPP: Electricity
09332000-5,Zonne-energie-installatie,GPP: Electricity
09340000-4,Nucleaire brandstoffen,"GPP: Office Building Design, Construction and Management"
09341000-1,Uranium,"GPP: Office Building Design, Construction and Management"
09342000-8,Plutonium,"GPP: Office Building Design, Construction and Management"
09343000-5,Radioactieve stoffen,"GPP: Office Building Design, Construction and Management"
09344000-2,Radio-isotopen,"GPP: Office Building Design, Construction and Management"
14000000-1,"Mijnbouw, basismetalen en aanverwante producten","GPP: Road Design, Construction and Maintenance"
14200000-3,Zand en klei,"GPP: Road Design, Construction and Maintenance"
14210000-6,"Grind, zand, steenslag en aggregaten","GPP: Road Design, Construction and Maintenance"
14211000-3,Zand,"GPP: Road Design, Construction and Maintenance"
14211100-4,Natuurlijk zand,"GPP: Road Design, Construction and Maintenance"
14212000-0,"Granulaat, steengruis, steenpoeder, keien, grind, split en steenslag, steenmengels, zand-grindmengsels en andere aggregaten","GPP: Road Design, Construction and Maintenance"
14212100-1,Keien en grind,"GPP: Road Design, Construction and Maintenance"
14212110-4,Grind,"GPP: Road Design, Construction and Maintenance"
14212120-7,Keien,"GPP: Road Design, Construction and Maintenance"
14212200-2,Aggregaten,"GPP: Road Design, Construction and Maintenance"
14212210-5,Zand-grindmengsel,"GPP: Road Design, Construction and Maintenance"
14212300-3,Split en steenslag,"GPP: Road Design, Construction and Maintenance"
14212310-6,Ballast,"GPP: Road Design, Construction and Maintenance"
14212320-9,Granietsplit,"GPP: Road Design, Construction and Maintenance"
14212330-2,Basaltsplit,"GPP: Road Design, Construction and Maintenance"
14212400-4,Grond,"GPP: Road Design, Construction and Maintenance"
14212410-7,Teelaarde,GPP: Public Space Maintenance
14724000-2,Titanium,"GPP: Road Design, Construction and Maintenance"
14212430-3,Steengruis,"GPP: Road Design, Construction and Maintenance"
14213000-7,"Macadam, teermacadam en teerzand","GPP: Road Design, Construction and Maintenance"
14213100-8,Macadam,"GPP: Road Design, Construction and Maintenance"
14213200-9,Teermacadam,"GPP: Road Design, Construction and Maintenance"
14213300-0,Teerzand,"GPP: Road Design, Construction and Maintenance"
14220000-9,Klei en porseleinaarde,"GPP: Office Building Design, Construction and Management"
14221000-6,Klei,"GPP: Office Building Design, Construction and Management"
14222000-3,Porseleinaarde,"GPP: Office Building Design, Construction and Management"
14300000-4,Mineralen voor de chemische en kunstmestindustrie,GPP: Public Space Maintenance
14310000-7,Mineralen voor de kunstmestindustrie,GPP: Public Space Maintenance
14311000-4,"Natuurlijk calcium, aluminiumcalciumfosfaat en ruwe natuurlijke kalizouten",GPP: Public Space Maintenance
14311100-5,Natuurlijk calcium,GPP: Public Space Maintenance
14311200-6,Aluminiumcalciumfosfaten,GPP: Public Space Maintenance
14311300-7,Ruwe natuurlijke kalizouten,GPP: Public Space Maintenance
14312000-1,IJzerpyriet,GPP: Public Space Maintenance
14312100-2,Ongeroost pyriet,GPP: Public Space Maintenance
14320000-0,Chemische mineralen,GPP: Public Space Maintenance
14400000-5,Zout en zuiver natriumchloride,GPP: Public Space Maintenance
14410000-8,Steenzout,GPP: Public Space Maintenance
14420000-1,Zeezout,GPP: Public Space Maintenance
14430000-4,Geëvaporeerd zout en zuiver natriumchloride,GPP: Public Space Maintenance
14450000-0,Pekel,GPP: Public Space Maintenance
14500000-6,Nevenproducten van mijnbouw en steengroeven,GPP: Not applicable
14520000-2,Edelstenen en halfedelstenen; puimsteen; amaril; natuurlijke slijpmiddelen; andere mineralen en edele metalen,GPP: Not applicable
14521000-9,Edelstenen en halfedelstenen,GPP: Not applicable
14521100-0,Edelstenen,GPP: Not applicable
14521140-2,Stof of poeder van edelstenen,GPP: Not applicable
14521200-1,Halfedelstenen,GPP: Not applicable
14521210-4,Stof of poeder van halfedelstenen,GPP: Not applicable
14522000-6,Industriediamanten; puimsteen; amaril en andere natuurlijke slijpmiddelen,GPP: Not applicable
14522100-7,Puimsteen,GPP: Not applicable
14522200-8,Industriediamanten,GPP: Not applicable
14522300-9,Amaril,GPP: Not applicable
14522400-0,Natuurlijke slijpmiddelen,GPP: Not applicable
14523000-3,"Aanverwante mineralen, edele metalen en bijbehorende producten",GPP: Not applicable
14523100-4,Mineralen,GPP: Not applicable
14523200-5,Goud,GPP: Not applicable
14523300-6,Zilver,GPP: Not applicable
14523400-7,Platina,GPP: Not applicable
14600000-7,Metaalertsen en legeringen,GPP: Not applicable
14610000-0,Metaalertsen,GPP: Not applicable
14611000-7,IJzerertsen,GPP: Not applicable
14612000-4,Non-ferrometaalertsen,GPP: Not applicable
14612100-5,Koperertsen,GPP: Not applicable
14612200-6,Nikkelertsen,GPP: Not applicable
14612300-7,Aluminiumertsen,GPP: Not applicable
14612400-8,Edelmetaalertsen,GPP: Not applicable
14612500-9,Loodertsen,GPP: Not applicable
14612600-0,Zinkertsen,GPP: Not applicable
14612700-1,Tinertsen,GPP: Not applicable
14613000-1,Uranium- en thoriumertsen,GPP: Not applicable
14613100-2,Uraniumertsen,GPP: Not applicable
14613200-3,Thoriumertsen,GPP: Not applicable
14614000-8,Diverse ertsen,GPP: Not applicable
14620000-3,Legeringen,GPP: Not applicable
14621000-0,Ferrolegeringen,GPP: Not applicable
14621100-1,Niet-EGKS-ferrolegeringen,GPP: Not applicable
14621110-4,Ferromangaan,GPP: Not applicable
14621120-7,Ferrochroom,GPP: Not applicable
14621130-0,Ferronikkel,GPP: Not applicable
14622000-7,Staal,GPP: Not applicable
14630000-6,"Slakken, gietschuim, ferro-afval en schroot",GPP: Not applicable
14700000-8,Basismetalen,GPP: Not applicable
14710000-1,"IJzer, lood, zink, tin en koper",GPP: Not applicable
14711000-8,IJzer,GPP: Not applicable
14711100-9,Ruw gietijzer,GPP: Not applicable
14712000-5,Lood,GPP: Not applicable
14713000-2,Zink,GPP: Not applicable
14714000-9,Tin,GPP: Not applicable
14715000-6,Koper,GPP: Not applicable
14720000-4,"Aluminium, nikkel, scandium, titanium en vanadium",GPP: Not applicable
14721000-1,Aluminium,GPP: Not applicable
14721100-2,Aluminiumoxide,GPP: Not applicable
14722000-8,Nikkel,GPP: Not applicable
14723000-5,Scandium,GPP: Not applicable
14724000-2,Titanium,GPP: Not applicable
14725000-9,Vanadium,GPP: Not applicable
14730000-7,"Chroom, mangaan, kobalt, yttrium en zirkonium",GPP: Not applicable
14731000-4,Chroom,GPP: Not applicable
14732000-1,Mangaan,GPP: Not applicable
14733000-8,Kobalt,GPP: Not applicable
14734000-5,Yttrium,GPP: Not applicable
14735000-2,Zirkonium,GPP: Not applicable
14740000-0,"Molybdeen, technetium, ruthenium en rodium",GPP: Not applicable
14741000-7,Molybdeen,GPP: Not applicable
14742000-4,Technetium,GPP: Not applicable
14743000-1,Ruthenium,GPP: Not applicable
14744000-8,Rodium,GPP: Not applicable
14750000-3,"Cadmium, lutetium, hafnium, tantaal en wolfraam",GPP: Not applicable
14751000-0,Cadmium,GPP: Not applicable
14752000-7,Lutetium,GPP: Not applicable
14753000-4,Hafnium,GPP: Not applicable
14754000-1,Tantaal,GPP: Not applicable
14755000-8,Wolfraam,GPP: Not applicable
14760000-6,"Iridium, gallium, indium, thallium en barium",GPP: Not applicable
14761000-3,Iridium,GPP: Not applicable
14762000-0,Gallium,GPP: Not applicable
14763000-7,Indium,GPP: Not applicable
14764000-4,Thallium,GPP: Not applicable
14765000-1,Barium,GPP: Not applicable
14770000-9,"Cesium, strontium, rubidium en calcium",GPP: Not applicable
14771000-6,Cesium,GPP: Not applicable
14772000-3,Strontium,GPP: Not applicable
14773000-0,Rubidium,GPP: Not applicable
14774000-7,Calcium,GPP: Not applicable
14780000-2,"Kalium, magnesium, natrium en lithium",GPP: Not applicable
14781000-9,Kalium,GPP: Not applicable
14782000-6,Magnesium,GPP: Not applicable
14783000-3,Natrium,GPP: Not applicable
14784000-0,Lithium,GPP: Not applicable
14790000-5,"Niobium, osmium, renium en palladium",GPP: Not applicable
14791000-2,Niobium,GPP: Not applicable
14792000-9,Osmium,GPP: Not applicable
14793000-6,Renium,GPP: Not applicable
14794000-3,Palladium,GPP: Not applicable
14800000-9,Diverse niet-metaalhoudende minerale producten,GPP: Not applicable
14810000-2,Schuurproducten,GPP: Not applicable
14811000-9,"Molenstenen, slijpstenen en slijpwielen",GPP: Not applicable
14811100-0,Molenstenen,GPP: Not applicable
14811200-1,Slijpstenen,GPP: Not applicable
14811300-2,Slijpwielen,GPP: Not applicable
14812000-6,Schuurpoeder of -korrels,GPP: Not applicable
14813000-3,Kunstmatig korund,GPP: Not applicable
14814000-0,Kunstmatig grafiet,GPP: Not applicable
14820000-5,Glas,GPP: Not applicable
14830000-8,Fiberglas,GPP: Not applicable
14900000-0,Gerecycleerde secundaire grondstoffen,GPP: Not applicable
14910000-3,Gerecycleerde secundaire metaalhoudende grondstoffen,GPP: Not applicable
14920000-6,Gerecycleerde secundaire niet-metaalhoudende grondstoffen,GPP: Not applicable
14930000-9,Metaalhoudende as en residuen,GPP: Not applicable
15000000-8,"Voeding, dranken, tabak en aanverwante producten",GPP: Food Catering services and vending machines
15100000-9,"Dierlijke producten, vlees en vleesproducten",GPP: Food Catering services and vending machines
15110000-2,Vlees,GPP: Food Catering services and vending machines
