CPV Code,Omschrijving,GPP Module(s),Qualifier
03210000-6,Granen en aardappelen,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03211000-3,Granen,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03211100-4,Tarwe,"Levensmiddelen, cateringdiensten en verkoopautomaten; Textielproducten en -diensten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.; Let op: alleen van toepassing indien ingekocht als grondstof voor textielvezels (bijv. tarwestro).
03211110-7,Harde tarwe,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03211120-0,Zachte tarwe,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03211200-5,Maïs,"Levensmiddelen, cateringdiensten en verkoopautomaten; Textielproducten en -diensten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.; Let op: alleen van toepassing indien ingekocht als grondstof voor textielvezels (bijv. PLA-maïsvezel).
03211300-6,Rijst,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03211400-7,Gerst,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel of drankgrondstof voor consumptie.
03211500-8,Rogge,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03211600-9,Haver,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03211700-0,Mout,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als drankgrondstof voor consumptie.
03211900-2,Graanproducten,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03212000-0,Aardappelen en gedroogde groenten,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03212100-1,Aardappelen,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03212200-2,Gedroogde peulvruchten en peulen,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03212210-5,Gedroogde peulvruchten,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03212211-2,Linzen,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03212212-9,Kikkererwten,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03212213-6,Gedroogde erwten,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03212220-8,Peulvruchten,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03220000-9,"Groenten, vruchten en noten","Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03221000-6,Groenten,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03221100-7,Wortel- en knolgewassen,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03221110-0,Wortelgewassen,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03221111-7,Rode bieten,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03221112-4,Wortelen,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03221113-1,Uien,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03221114-8,Rapen,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03221120-3,Knolgewassen,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03221200-8,Vruchtgroenten,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03221210-1,Bonen,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03221211-8,Tuinbonen,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03221212-5,Sperziebonen,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03221213-2,Snijbonen,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03221220-4,Erwten,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03221221-1,Doperwten,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03221222-8,Peultjes,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03221230-7,Paprika's,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03221240-0,Tomaten,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03221250-3,Courgettes,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03221260-6,Paddestoelen,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03221270-9,Komkommers,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03221300-9,Bladgroenten,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03221310-2,Sla,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03221320-5,Slabladeren,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03221330-8,Artisjokken,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03221340-1,Spinazie,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03221400-0,Koolgroenten,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03221410-3,Kool,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03221420-6,Bloemkool,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03221430-9,Broccoli,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03221440-2,Spruitjes,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03222000-3,Vruchten en noten,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03222100-4,Tropische vruchten en noten,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03222110-7,Tropisch fruit,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03222111-4,Bananen,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03222112-1,Ananassen,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03222113-8,Mango's,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03222114-5,Dadels,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03222115-2,Rozijnen,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03222116-9,Vijgen,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03222117-6,Avocado's,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03222118-3,Kiwi's,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03222120-0,Kokosnoten,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03222200-5,Citrusvruchten,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03222210-8,Citroenen,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03222220-1,Sinaasappels,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03222230-4,Grapefruit,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03222240-7,Mandarijntjes,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03222250-0,Limoenen,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03222300-6,Niet-tropisch fruit,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03222310-9,Besvruchten,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03222311-6,Krenten,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03222312-3,Kruisbessen,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03222313-0,Aardbeien,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03222314-7,Frambozen,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03222315-4,Veenbessen,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03222320-2,"Appels, peren en kweeperen","Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03222321-9,Appels,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03222322-6,Peren,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03222323-3,Kweeperen,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03222330-5,Steenvruchten,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03222331-2,Abrikozen,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03222332-9,Perziken,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03222333-6,Kersen,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03222334-3,Pruimen,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03222340-8,Druiven,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03222341-5,Tafeldruiven,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03222400-7,Olijven,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03300000-2,"Veeteelt-, jacht- en visserijproducten","Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03310000-5,"Vis, schaal- en schelpdieren en aquatische producten","Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03311000-2,Vis,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03311100-3,Platvissen,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03311110-6,Tong,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03311120-9,Schol,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03311200-4,Kabeljauwachtigen,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03311210-7,Kabeljauw,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03311220-0,Pollak,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03311230-3,Heek,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03311240-6,Schelvis,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03311300-5,Haring,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03311400-6,Tonijn,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03311500-7,Wijting,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03311600-8,Zeebliek,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03311700-9,Zalm,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03312000-9,Schaaldieren,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03312100-0,Oesters,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03312200-1,Schelpdieren,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03312300-2,Ongewervelde waterdieren,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03313000-6,Aquatische producten,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03331000-0,Verse melk van schapen en geiten,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03331100-1,Schapenmelk,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03331200-2,Geitenmelk,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03332000-7,Wol en dierlijk haar,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als grondstof voor textielproducten of interieurtextiel.
03332100-8,Scheerwol,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als grondstof voor textielproducten of interieurtextiel.
03332200-9,Dierlijk haar,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als grondstof voor textielproducten of interieurtextiel.
03333000-4,Verse koemelk,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03400000-4,Producten van bosbouw en bosexploitatie,Onderhoud van de openbare ruimte,"Let op: alleen van toepassing indien ingekocht voor aanplant, onderhoud of herstel van openbaar groen."
03410000-7,Hout,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien ingekocht als bouwmateriaal voor kantoorgebouwen.
03460000-2,Pulp,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als grondstof voor textielvezels of cellulosevezels.
03461000-9,Houtpulp,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als grondstof voor textielvezels of cellulosevezels.
03461100-0,Houtcellulose,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als grondstof voor textielvezels of cellulosevezels.
09111400-4,Brandstoffen op basis van hout,Onderhoud van de openbare ruimte,Let op: alleen van toepassing indien ingekocht voor gebruik in onderhouds- of terreinbeheermachines in de openbare ruimte.
09300000-2,"Elektriciteit, verwarming, zonne- en kernenergie",Elektriciteit,Let op: alleen van toepassing indien ingekocht als elektriciteit.
09310000-5,Elektriciteit,Elektriciteit,
09330000-1,Zonne-energie,"Ontwerp, bouw en beheer van kantoorgebouwen","Let op: alleen van toepassing indien ingekocht als onderdeel van ontwerp, bouw of renovatie van een kantoorgebouw."
09122100-1,Propaangas,Wegvervoer,Let op: alleen van toepassing indien ingekocht als brandstof voor voertuigen of vervoersdiensten.
09122110-4,Vloeibaar propaangas,Wegvervoer,Let op: alleen van toepassing indien ingekocht als brandstof voor voertuigen of vervoersdiensten.
09122200-2,Butaangas,Wegvervoer,Let op: alleen van toepassing indien ingekocht als brandstof voor voertuigen of vervoersdiensten.
09122210-5,Vloeibaar butaangas,Wegvervoer,Let op: alleen van toepassing indien ingekocht als brandstof voor voertuigen of vervoersdiensten.
09123000-7,Aardgas,Wegvervoer,Let op: alleen van toepassing indien ingekocht als CNG-brandstof voor voertuigen of vervoersdiensten.
09132000-3,Benzine,Wegvervoer,Let op: alleen van toepassing indien ingekocht als brandstof voor voertuigen of vervoersdiensten.
09132100-4,Loodvrije benzine,Wegvervoer,Let op: alleen van toepassing indien ingekocht als brandstof voor voertuigen of vervoersdiensten.
09132200-5,Gelode benzine,Wegvervoer,Let op: alleen van toepassing indien ingekocht als brandstof voor voertuigen of vervoersdiensten.
09132300-6,Ethanolhoudende benzine,Wegvervoer,Let op: alleen van toepassing indien ingekocht als brandstof voor voertuigen of vervoersdiensten.
